date,name,category,value
"Jan 5, 2022",Media and Public Opinion,Financial Services,288
"Jan 5, 2022",Inclusive Development and Human Rights,FMCG,145
"Jan 5, 2022",Employment & Social Development,Electronics,323
"Jan 5, 2022","Education, Skills & Competecies",Financial Services,327
"Jan 5, 2022",Climate Change & Resilience,Automotive,391
"Jan 5, 2022",Pollution,Beverages,332
"Jan 5, 2022",Natural Capital Use and Managment,Technology,133
"Jan 5, 2022",Demographics,Business Services,392
"Jan 5, 2022",Urbanization and Smart Cities,Technology,238
"Jan 5, 2022",COVID-nineteen,Technology,393
"Jan 6, 2022",Public Health,Diversified,256
"Jan 6, 2022",Environment,Automotive,300
"Jan 6, 2022",Equitable Access to Environmental Goods,Media,348
"Jan 6, 2022",Social Welfare,Restaurants,135
"Jan 6, 2022",Politics and Global Governance,Telecommunications,290
"Jan 6, 2022","Economy, Trade and Investment",Tobacco,20
"Jan 6, 2022","Digital Governance, Privacy and Technology",Automotive,437
"Jan 6, 2022",Media and Public Opinion,Electronics,424
"Jan 6, 2022",Inclusive Development and Human Rights,Business Services,428
"Jan 6, 2022",Employment & Social Development,Automotive,315
"Jan 6, 2022","Education, Skills & Competecies",Financial Services,357
"Jan 6, 2022",Climate Change & Resilience,FMCG,485
"Jan 6, 2022",Pollution,Electronics,243
"Jan 6, 2022",Natural Capital Use and Managment,Financial Services,395
"Jan 6, 2022",Demographics,Automotive,100
"Jan 6, 2022",Urbanization and Smart Cities,Beverages,326
"Jan 6, 2022",COVID-nineteen,Technology,161
"Jan 7, 2022",Public Health,Business Services,432
"Jan 7, 2022",Environment,Technology,271
"Jan 7, 2022",Equitable Access to Environmental Goods,Technology,466
"Jan 7, 2022",Social Welfare,Diversified,77
"Jan 7, 2022",Politics and Global Governance,Automotive,348
"Jan 7, 2022","Economy, Trade and Investment",Media,418
"Jan 7, 2022","Digital Governance, Privacy and Technology",Restaurants,31
"Jan 7, 2022",Media and Public Opinion,Telecommunications,350
"Jan 7, 2022",Inclusive Development and Human Rights,Tobacco,353
"Jan 7, 2022",Employment & Social Development,Automotive,22
"Jan 7, 2022","Education, Skills & Competecies",Electronics,137
"Jan 7, 2022",Climate Change & Resilience,Business Services,89
"Jan 7, 2022",Pollution,Automotive,344
"Jan 7, 2022",Natural Capital Use and Managment,Financial Services,168
"Jan 7, 2022",Demographics,FMCG,392
"Jan 7, 2022",Urbanization and Smart Cities,Electronics,475
"Jan 7, 2022",COVID-nineteen,Financial Services,95
"Jan 8, 2022",Public Health,Automotive,428
"Jan 8, 2022",Environment,Beverages,390
"Jan 8, 2022",Equitable Access to Environmental Goods,Technology,125
"Jan 8, 2022",Social Welfare,Business Services,448
"Jan 8, 2022",Politics and Global Governance,Technology,35
"Jan 8, 2022","Economy, Trade and Investment",Technology,318
"Jan 8, 2022","Digital Governance, Privacy and Technology",Diversified,289
"Jan 8, 2022",Media and Public Opinion,Automotive,344
"Jan 8, 2022",Inclusive Development and Human Rights,Media,397
"Jan 8, 2022",Employment & Social Development,Restaurants,21
"Jan 8, 2022","Education, Skills & Competecies",Telecommunications,232
"Jan 8, 2022",Climate Change & Resilience,Tobacco,47
"Jan 8, 2022",Pollution,Automotive,56
"Jan 8, 2022",Natural Capital Use and Managment,Electronics,119
"Jan 8, 2022",Demographics,Business Services,347
"Jan 8, 2022",Urbanization and Smart Cities,Automotive,46
"Jan 8, 2022",COVID-nineteen,Financial Services,239
"Jan 9, 2022",Public Health,FMCG,465
"Jan 9, 2022",Environment,Electronics,480
"Jan 9, 2022",Equitable Access to Environmental Goods,Financial Services,73
"Jan 9, 2022",Social Welfare,Automotive,197
"Jan 9, 2022",Politics and Global Governance,Beverages,179
"Jan 9, 2022","Economy, Trade and Investment",Technology,484
"Jan 9, 2022","Digital Governance, Privacy and Technology",Business Services,474
"Jan 9, 2022",Media and Public Opinion,Technology,245
"Jan 9, 2022",Inclusive Development and Human Rights,Technology,402
"Jan 9, 2022",Employment & Social Development,Diversified,312
"Jan 9, 2022","Education, Skills & Competecies",Automotive,418
"Jan 9, 2022",Climate Change & Resilience,Media,269
"Jan 9, 2022",Pollution,Restaurants,55
"Jan 9, 2022",Natural Capital Use and Managment,Telecommunications,289
"Jan 9, 2022",Demographics,Tobacco,78
"Jan 9, 2022",Urbanization and Smart Cities,Automotive,167
"Jan 9, 2022",COVID-nineteen,Electronics,60
"Jan 10, 2022",Public Health,Business Services,336
"Jan 10, 2022",Environment,Automotive,250
"Jan 10, 2022",Equitable Access to Environmental Goods,Financial Services,288
"Jan 10, 2022",Social Welfare,FMCG,354
"Jan 10, 2022",Politics and Global Governance,Electronics,430
"Jan 10, 2022","Economy, Trade and Investment",Financial Services,195
"Jan 10, 2022","Digital Governance, Privacy and Technology",Automotive,57
"Jan 10, 2022",Media and Public Opinion,Beverages,68
"Jan 10, 2022",Inclusive Development and Human Rights,Technology,409
"Jan 10, 2022",Employment & Social Development,Business Services,432
"Jan 10, 2022","Education, Skills & Competecies",Technology,126
"Jan 10, 2022",Climate Change & Resilience,Technology,209
"Jan 10, 2022",Pollution,Diversified,459
"Jan 10, 2022",Natural Capital Use and Managment,Automotive,385
"Jan 10, 2022",Demographics,Media,153
"Jan 10, 2022",Urbanization and Smart Cities,Restaurants,491
"Jan 10, 2022",COVID-nineteen,Telecommunications,61
"Jan 11, 2022",Public Health,Tobacco,113
"Jan 11, 2022",Environment,Automotive,303
"Jan 11, 2022",Equitable Access to Environmental Goods,Electronics,160
"Jan 11, 2022",Social Welfare,Business Services,379
"Jan 11, 2022",Politics and Global Governance,Automotive,348
"Jan 11, 2022","Economy, Trade and Investment",Financial Services,47
"Jan 11, 2022","Digital Governance, Privacy and Technology",FMCG,59
"Jan 11, 2022",Media and Public Opinion,Electronics,171
"Jan 11, 2022",Inclusive Development and Human Rights,Financial Services,394
"Jan 11, 2022",Employment & Social Development,Automotive,87
"Jan 11, 2022","Education, Skills & Competecies",Beverages,157
"Jan 11, 2022",Climate Change & Resilience,Technology,387
"Jan 11, 2022",Pollution,Business Services,413
"Jan 11, 2022",Natural Capital Use and Managment,Technology,347
"Jan 11, 2022",Demographics,Technology,497
"Jan 11, 2022",Urbanization and Smart Cities,Diversified,136
"Jan 11, 2022",COVID-nineteen,Automotive,180
"Jan 12, 2022",Public Health,Media,311
"Jan 12, 2022",Environment,Restaurants,308
"Jan 12, 2022",Equitable Access to Environmental Goods,Telecommunications,71
"Jan 12, 2022",Social Welfare,Tobacco,482
"Jan 12, 2022",Politics and Global Governance,Automotive,86
"Jan 12, 2022","Economy, Trade and Investment",Electronics,334
"Jan 12, 2022","Digital Governance, Privacy and Technology",Business Services,285
"Jan 12, 2022",Media and Public Opinion,Automotive,233
"Jan 12, 2022",Inclusive Development and Human Rights,Financial Services,88
"Jan 12, 2022",Employment & Social Development,FMCG,92
"Jan 12, 2022","Education, Skills & Competecies",Electronics,373
"Jan 12, 2022",Climate Change & Resilience,Financial Services,242
"Jan 12, 2022",Pollution,Automotive,75
"Jan 12, 2022",Natural Capital Use and Managment,Beverages,177
"Jan 12, 2022",Demographics,Technology,164
"Jan 12, 2022",Urbanization and Smart Cities,Business Services,297
"Jan 12, 2022",COVID-nineteen,Technology,360
"Jan 13, 2022",Public Health,Technology,74
"Jan 13, 2022",Environment,Diversified,214
"Jan 13, 2022",Equitable Access to Environmental Goods,Automotive,275
"Jan 13, 2022",Social Welfare,Media,393
"Jan 13, 2022",Politics and Global Governance,Restaurants,212
"Jan 13, 2022","Economy, Trade and Investment",Telecommunications,277
"Jan 13, 2022","Digital Governance, Privacy and Technology",Tobacco,272
"Jan 13, 2022",Media and Public Opinion,Automotive,355
"Jan 13, 2022",Inclusive Development and Human Rights,Electronics,157
"Jan 13, 2022",Employment & Social Development,Business Services,476
"Jan 13, 2022","Education, Skills & Competecies",Automotive,415
"Jan 13, 2022",Climate Change & Resilience,Financial Services,63
"Jan 13, 2022",Pollution,FMCG,150
"Jan 13, 2022",Natural Capital Use and Managment,Electronics,86
"Jan 13, 2022",Demographics,Financial Services,159
"Jan 13, 2022",Urbanization and Smart Cities,Automotive,101
"Jan 13, 2022",COVID-nineteen,Beverages,76
"Jan 14, 2022",Public Health,Technology,248
"Jan 14, 2022",Environment,Business Services,478
"Jan 14, 2022",Equitable Access to Environmental Goods,Technology,314
"Jan 14, 2022",Social Welfare,Technology,404
"Jan 14, 2022",Politics and Global Governance,Diversified,83
"Jan 14, 2022","Economy, Trade and Investment",Automotive,375
"Jan 14, 2022","Digital Governance, Privacy and Technology",Media,146
"Jan 14, 2022",Media and Public Opinion,Restaurants,259
"Jan 14, 2022",Inclusive Development and Human Rights,Telecommunications,223
"Jan 14, 2022",Employment & Social Development,Tobacco,459
"Jan 14, 2022","Education, Skills & Competecies",Automotive,488
"Jan 14, 2022",Climate Change & Resilience,Electronics,42
"Jan 14, 2022",Pollution,Business Services,496
"Jan 14, 2022",Natural Capital Use and Managment,Automotive,281
"Jan 14, 2022",Demographics,Financial Services,310
"Jan 14, 2022",Urbanization and Smart Cities,FMCG,361
"Jan 14, 2022",COVID-nineteen,Electronics,295
"Jan 15, 2022",Public Health,Financial Services,266
"Jan 15, 2022",Environment,Automotive,263
"Jan 15, 2022",Equitable Access to Environmental Goods,Beverages,173
"Jan 15, 2022",Social Welfare,Technology,365
"Jan 15, 2022",Politics and Global Governance,Business Services,139
"Jan 15, 2022","Economy, Trade and Investment",Technology,422
"Jan 15, 2022","Digital Governance, Privacy and Technology",Technology,80
"Jan 15, 2022",Media and Public Opinion,Diversified,232
"Jan 15, 2022",Inclusive Development and Human Rights,Automotive,171
"Jan 15, 2022",Employment & Social Development,Media,367
"Jan 15, 2022","Education, Skills & Competecies",Restaurants,372
"Jan 15, 2022",Climate Change & Resilience,Telecommunications,363
"Jan 15, 2022",Pollution,Tobacco,255
"Jan 15, 2022",Natural Capital Use and Managment,Automotive,279
"Jan 15, 2022",Demographics,Electronics,264
"Jan 15, 2022",Urbanization and Smart Cities,Business Services,349
"Jan 15, 2022",COVID-nineteen,Automotive,367
"Jan 16, 2022",Public Health,Financial Services,312
"Jan 16, 2022",Environment,FMCG,404
"Jan 16, 2022",Equitable Access to Environmental Goods,Electronics,351
"Jan 16, 2022",Social Welfare,Financial Services,343
"Jan 16, 2022",Politics and Global Governance,Automotive,109
"Jan 16, 2022","Economy, Trade and Investment",Beverages,49
"Jan 16, 2022","Digital Governance, Privacy and Technology",Technology,221
"Jan 16, 2022",Media and Public Opinion,Business Services,82
"Jan 16, 2022",Inclusive Development and Human Rights,Technology,465
"Jan 16, 2022",Employment & Social Development,Technology,389
"Jan 16, 2022","Education, Skills & Competecies",Diversified,98
"Jan 16, 2022",Climate Change & Resilience,Automotive,338
"Jan 16, 2022",Pollution,Media,461
"Jan 16, 2022",Natural Capital Use and Managment,Restaurants,291
"Jan 16, 2022",Demographics,Telecommunications,298
"Jan 16, 2022",Urbanization and Smart Cities,Tobacco,189
"Jan 16, 2022",COVID-nineteen,Automotive,497
"Jan 17, 2022",Public Health,Electronics,358
"Jan 17, 2022",Environment,Business Services,172
"Jan 17, 2022",Equitable Access to Environmental Goods,Automotive,152
"Jan 17, 2022",Social Welfare,Financial Services,141
"Jan 17, 2022",Politics and Global Governance,FMCG,118
"Jan 17, 2022","Economy, Trade and Investment",Electronics,382
"Jan 17, 2022","Digital Governance, Privacy and Technology",Financial Services,359
"Jan 17, 2022",Media and Public Opinion,Automotive,330
"Jan 17, 2022",Inclusive Development and Human Rights,Beverages,285
"Jan 17, 2022",Employment & Social Development,Technology,108
"Jan 17, 2022","Education, Skills & Competecies",Business Services,334
"Jan 17, 2022",Climate Change & Resilience,Technology,36
"Jan 17, 2022",Pollution,Technology,499
"Jan 17, 2022",Natural Capital Use and Managment,Diversified,61
"Jan 17, 2022",Demographics,Automotive,249
"Jan 17, 2022",Urbanization and Smart Cities,Media,179
"Jan 17, 2022",COVID-nineteen,Restaurants,346
"Jan 18, 2022",Public Health,Telecommunications,262
"Jan 18, 2022",Environment,Tobacco,391
"Jan 18, 2022",Equitable Access to Environmental Goods,Automotive,131
"Jan 18, 2022",Social Welfare,Electronics,440
"Jan 18, 2022",Politics and Global Governance,Business Services,104
"Jan 18, 2022","Economy, Trade and Investment",Automotive,325
"Jan 18, 2022","Digital Governance, Privacy and Technology",Financial Services,286
"Jan 18, 2022",Media and Public Opinion,FMCG,313
"Jan 18, 2022",Inclusive Development and Human Rights,Electronics,363
"Jan 18, 2022",Employment & Social Development,Financial Services,352
"Jan 18, 2022","Education, Skills & Competecies",Automotive,206
"Jan 18, 2022",Climate Change & Resilience,Beverages,416
"Jan 18, 2022",Pollution,Technology,78
"Jan 18, 2022",Natural Capital Use and Managment,Business Services,39
"Jan 18, 2022",Demographics,Technology,76
"Jan 18, 2022",Urbanization and Smart Cities,Technology,484
"Jan 18, 2022",COVID-nineteen,Diversified,438
"Jan 19, 2022",Public Health,Automotive,162
"Jan 19, 2022",Environment,Media,421
"Jan 19, 2022",Equitable Access to Environmental Goods,Restaurants,352
"Jan 19, 2022",Social Welfare,Telecommunications,52
"Jan 19, 2022",Politics and Global Governance,Tobacco,263
"Jan 19, 2022","Economy, Trade and Investment",Automotive,442
"Jan 19, 2022","Digital Governance, Privacy and Technology",Electronics,427
"Jan 19, 2022",Media and Public Opinion,Business Services,262
"Jan 19, 2022",Inclusive Development and Human Rights,Automotive,315
"Jan 19, 2022",Employment & Social Development,Financial Services,486
"Jan 19, 2022","Education, Skills & Competecies",FMCG,260
"Jan 19, 2022",Climate Change & Resilience,Electronics,477
"Jan 19, 2022",Pollution,Financial Services,232
"Jan 19, 2022",Natural Capital Use and Managment,Automotive,480
"Jan 19, 2022",Demographics,Beverages,78
"Jan 19, 2022",Urbanization and Smart Cities,Technology,362
"Jan 19, 2022",COVID-nineteen,Business Services,20
"Jan 20, 2022",Public Health,Technology,124
"Jan 20, 2022",Environment,Technology,215
"Jan 20, 2022",Equitable Access to Environmental Goods,Diversified,157
"Jan 20, 2022",Social Welfare,Automotive,479
"Jan 20, 2022",Politics and Global Governance,Media,327
"Jan 20, 2022","Economy, Trade and Investment",Restaurants,206
"Jan 20, 2022","Digital Governance, Privacy and Technology",Telecommunications,475
"Jan 20, 2022",Media and Public Opinion,Tobacco,372
"Jan 20, 2022",Inclusive Development and Human Rights,Automotive,243
"Jan 20, 2022",Employment & Social Development,Electronics,339
"Jan 20, 2022","Education, Skills & Competecies",Business Services,110
"Jan 20, 2022",Climate Change & Resilience,Automotive,329
"Jan 20, 2022",Pollution,Financial Services,207
"Jan 20, 2022",Natural Capital Use and Managment,FMCG,302
"Jan 20, 2022",Demographics,Electronics,181
"Jan 20, 2022",Urbanization and Smart Cities,Financial Services,414
"Jan 20, 2022",COVID-nineteen,Automotive,62
"Jan 21, 2022",Public Health,Beverages,111
"Jan 21, 2022",Environment,Technology,487
"Jan 21, 2022",Equitable Access to Environmental Goods,Business Services,236
"Jan 21, 2022",Social Welfare,Technology,358
"Jan 21, 2022",Politics and Global Governance,Technology,258
"Jan 21, 2022","Economy, Trade and Investment",Diversified,268
"Jan 21, 2022","Digital Governance, Privacy and Technology",Automotive,64
"Jan 21, 2022",Media and Public Opinion,Media,447
"Jan 21, 2022",Inclusive Development and Human Rights,Restaurants,310
"Jan 21, 2022",Employment & Social Development,Telecommunications,35
"Jan 21, 2022","Education, Skills & Competecies",Tobacco,160
"Jan 21, 2022",Climate Change & Resilience,Automotive,390
"Jan 21, 2022",Pollution,Electronics,305
"Jan 21, 2022",Natural Capital Use and Managment,Business Services,137
"Jan 21, 2022",Demographics,Automotive,428
"Jan 21, 2022",Urbanization and Smart Cities,Financial Services,260
"Jan 21, 2022",COVID-nineteen,FMCG,440
"Jan 22, 2022",Public Health,Electronics,423
"Jan 22, 2022",Environment,Financial Services,200
"Jan 22, 2022",Equitable Access to Environmental Goods,Automotive,74
"Jan 22, 2022",Social Welfare,Beverages,51
"Jan 22, 2022",Politics and Global Governance,Technology,182
"Jan 22, 2022","Economy, Trade and Investment",Business Services,323
"Jan 22, 2022","Digital Governance, Privacy and Technology",Technology,90
"Jan 22, 2022",Media and Public Opinion,Technology,452
"Jan 22, 2022",Inclusive Development and Human Rights,Diversified,137
"Jan 22, 2022",Employment & Social Development,Automotive,195
"Jan 22, 2022","Education, Skills & Competecies",Media,359
"Jan 22, 2022",Climate Change & Resilience,Restaurants,441
"Jan 22, 2022",Pollution,Telecommunications,348
"Jan 22, 2022",Natural Capital Use and Managment,Tobacco,454
"Jan 22, 2022",Demographics,Automotive,401
"Jan 22, 2022",Urbanization and Smart Cities,Electronics,337
"Jan 22, 2022",COVID-nineteen,Business Services,241
"Jan 23, 2022",Public Health,Automotive,435
"Jan 23, 2022",Environment,Financial Services,137
"Jan 23, 2022",Equitable Access to Environmental Goods,FMCG,123
"Jan 23, 2022",Social Welfare,Electronics,186
"Jan 23, 2022",Politics and Global Governance,Financial Services,369
"Jan 23, 2022","Economy, Trade and Investment",Automotive,31
"Jan 23, 2022","Digital Governance, Privacy and Technology",Beverages,406
"Jan 23, 2022",Media and Public Opinion,Technology,194
"Jan 23, 2022",Inclusive Development and Human Rights,Business Services,421
"Jan 23, 2022",Employment & Social Development,Technology,278
"Jan 23, 2022","Education, Skills & Competecies",Technology,379
"Jan 23, 2022",Climate Change & Resilience,Diversified,47
"Jan 23, 2022",Pollution,Automotive,347
"Jan 23, 2022",Natural Capital Use and Managment,Media,142
"Jan 23, 2022",Demographics,Restaurants,391
"Jan 23, 2022",Urbanization and Smart Cities,Telecommunications,37
"Jan 23, 2022",COVID-nineteen,Tobacco,463
"Jan 24, 2022",Public Health,Automotive,135
"Jan 24, 2022",Environment,Electronics,234
"Jan 24, 2022",Equitable Access to Environmental Goods,Business Services,295
"Jan 24, 2022",Social Welfare,Automotive,325
"Jan 24, 2022",Politics and Global Governance,Financial Services,62
"Jan 24, 2022","Economy, Trade and Investment",FMCG,415
"Jan 24, 2022","Digital Governance, Privacy and Technology",Electronics,335
"Jan 24, 2022",Media and Public Opinion,Financial Services,428
"Jan 24, 2022",Inclusive Development and Human Rights,Automotive,194
"Jan 24, 2022",Employment & Social Development,Beverages,492
"Jan 24, 2022","Education, Skills & Competecies",Technology,361
"Jan 24, 2022",Climate Change & Resilience,Business Services,73
"Jan 24, 2022",Pollution,Technology,456
"Jan 24, 2022",Natural Capital Use and Managment,Technology,300
"Jan 24, 2022",Demographics,Diversified,96
"Jan 24, 2022",Urbanization and Smart Cities,Automotive,161
"Jan 24, 2022",COVID-nineteen,Media,149
"Jan 25, 2022",Public Health,Restaurants,448
"Jan 25, 2022",Environment,Telecommunications,42
"Jan 25, 2022",Equitable Access to Environmental Goods,Tobacco,186
"Jan 25, 2022",Social Welfare,Automotive,35
"Jan 25, 2022",Politics and Global Governance,Electronics,492
"Jan 25, 2022","Economy, Trade and Investment",Business Services,167
"Jan 25, 2022","Digital Governance, Privacy and Technology",Automotive,472
"Jan 25, 2022",Media and Public Opinion,Financial Services,85
"Jan 25, 2022",Inclusive Development and Human Rights,FMCG,42
"Jan 25, 2022",Employment & Social Development,Electronics,293
"Jan 25, 2022","Education, Skills & Competecies",Financial Services,172
"Jan 25, 2022",Climate Change & Resilience,Automotive,28
"Jan 25, 2022",Pollution,Beverages,345
"Jan 25, 2022",Natural Capital Use and Managment,Technology,45
"Jan 25, 2022",Demographics,Business Services,319
"Jan 25, 2022",Urbanization and Smart Cities,Technology,50
"Jan 25, 2022",COVID-nineteen,Technology,85
"Jan 26, 2022",Public Health,Diversified,404
"Jan 26, 2022",Environment,Automotive,162
"Jan 26, 2022",Equitable Access to Environmental Goods,Media,472
"Jan 26, 2022",Social Welfare,Restaurants,180
"Jan 26, 2022",Politics and Global Governance,Telecommunications,190
"Jan 26, 2022","Economy, Trade and Investment",Tobacco,377
"Jan 26, 2022","Digital Governance, Privacy and Technology",Automotive,161
"Jan 26, 2022",Media and Public Opinion,Electronics,94
"Jan 26, 2022",Inclusive Development and Human Rights,Business Services,87
"Jan 26, 2022",Employment & Social Development,Automotive,372
"Jan 26, 2022","Education, Skills & Competecies",Financial Services,376
"Jan 26, 2022",Climate Change & Resilience,FMCG,206
"Jan 26, 2022",Pollution,Electronics,415
"Jan 26, 2022",Natural Capital Use and Managment,Financial Services,198
"Jan 26, 2022",Demographics,Automotive,149
"Jan 26, 2022",Urbanization and Smart Cities,Beverages,88
"Jan 26, 2022",COVID-nineteen,Technology,256
"Jan 27, 2022",Public Health,Business Services,264
"Jan 27, 2022",Environment,Technology,484
"Jan 27, 2022",Equitable Access to Environmental Goods,Technology,86
"Jan 27, 2022",Social Welfare,Diversified,431
"Jan 27, 2022",Politics and Global Governance,Automotive,374
"Jan 27, 2022","Economy, Trade and Investment",Media,233
"Jan 27, 2022","Digital Governance, Privacy and Technology",Restaurants,336
"Jan 27, 2022",Media and Public Opinion,Telecommunications,205
"Jan 27, 2022",Inclusive Development and Human Rights,Tobacco,440
"Jan 27, 2022",Employment & Social Development,Automotive,247
"Jan 27, 2022","Education, Skills & Competecies",Electronics,156
"Jan 27, 2022",Climate Change & Resilience,Business Services,97
"Jan 27, 2022",Pollution,Automotive,20
"Jan 27, 2022",Natural Capital Use and Managment,Financial Services,67
"Jan 27, 2022",Demographics,FMCG,371
"Jan 27, 2022",Urbanization and Smart Cities,Electronics,94
"Jan 27, 2022",COVID-nineteen,Financial Services,316
"Jan 28, 2022",Public Health,Automotive,480
"Jan 28, 2022",Environment,Beverages,153
"Jan 28, 2022",Equitable Access to Environmental Goods,Technology,398
"Jan 28, 2022",Social Welfare,Business Services,265
"Jan 28, 2022",Politics and Global Governance,Technology,306
"Jan 28, 2022","Economy, Trade and Investment",Technology,147
"Jan 28, 2022","Digital Governance, Privacy and Technology",Diversified,475
"Jan 28, 2022",Media and Public Opinion,Automotive,136
"Jan 28, 2022",Inclusive Development and Human Rights,Media,192
"Jan 28, 2022",Employment & Social Development,Restaurants,73
"Jan 28, 2022","Education, Skills & Competecies",Telecommunications,57
"Jan 28, 2022",Climate Change & Resilience,Tobacco,473
"Jan 28, 2022",Pollution,Automotive,392
"Jan 28, 2022",Natural Capital Use and Managment,Electronics,95
"Jan 28, 2022",Demographics,Business Services,275
"Jan 28, 2022",Urbanization and Smart Cities,Automotive,150
"Jan 28, 2022",COVID-nineteen,Financial Services,256
"Jan 29, 2022",Public Health,FMCG,196
"Jan 29, 2022",Environment,Electronics,112
"Jan 29, 2022",Equitable Access to Environmental Goods,Financial Services,37
"Jan 29, 2022",Social Welfare,Automotive,240
"Jan 29, 2022",Politics and Global Governance,Beverages,305
"Jan 29, 2022","Economy, Trade and Investment",Technology,138
"Jan 29, 2022","Digital Governance, Privacy and Technology",Business Services,438
"Jan 29, 2022",Media and Public Opinion,Technology,251
"Jan 29, 2022",Inclusive Development and Human Rights,Technology,357
"Jan 29, 2022",Employment & Social Development,Diversified,60
"Jan 29, 2022","Education, Skills & Competecies",Automotive,412
"Jan 29, 2022",Climate Change & Resilience,Media,154
"Jan 29, 2022",Pollution,Restaurants,152
"Jan 29, 2022",Natural Capital Use and Managment,Telecommunications,281
"Jan 29, 2022",Demographics,Tobacco,241
"Jan 29, 2022",Urbanization and Smart Cities,Automotive,423
"Jan 29, 2022",COVID-nineteen,Electronics,51
"Jan 30, 2022",Public Health,Business Services,53
"Jan 30, 2022",Environment,Automotive,252
"Jan 30, 2022",Equitable Access to Environmental Goods,Financial Services,148
"Jan 30, 2022",Social Welfare,FMCG,289
"Jan 30, 2022",Politics and Global Governance,Electronics,472
